Date,4/25/2011,
Time,10:41:22,
Y_Unit_Label,Acceleration (g),
X_Dimension,Time (s),
X0,40:59.2,
Delta_X,0.0005,
***End_of_Header***,,
X_Value,Acceleration - Dev1_ai0,Comment
0.1395,0.509251,
0.14,0.504555,
0.1405,0.50018,
0.141,0.494632,
0.1415,0.48892,
0.142,0.48402,
0.1425,0.477326,
0.143,0.471614,
0.1435,0.465018,
0.144,0.460839,
0.1445,0.452704,
0.145,0.446822,
0.1455,0.440855,
0.146,0.434449,
0.1465,0.426621,
0.147,0.419731,
0.1475,0.412198,
0.148,0.405229,
0.1485,0.396818,
0.149,0.39055,
0.1495,0.382015,
0.15,0.373402,
0.1505,0.364945,
0.151,0.355631,
0.1515,0.348563,
0.152,0.338758,
0.1525,0.330289,
0.153,0.320869,
0.1535,0.31257,
0.154,0.302739,
0.1545,0.293496,
0.155,0.284058,
0.1555,0.274056,
0.156,0.264492,
0.1565,0.254366,
0.157,0.242838,
0.1575,0.234905,
0.158,0.223253,
0.1585,0.213912,
0.159,0.204185,
0.1595,0.193849,
0.16,0.18371,
0.1605,0.173432,
0.161,0.163142,
0.1615,0.153094,
0.162,0.14304,
0.1625,0.132501,
0.163,0.12206,
0.1635,0.112306,
0.164,0.101623,
0.1645,0.091647,
0.165,0.079058,
0.1655,0.069691,
0.166,0.058405,
0.1665,0.047794,
0.167,0.037216,
0.1675,0.025124,
0.168,0.016295,
0.1685,0.003823,
0.169,-0.006074,
0.1695,-0.016581,
0.17,-0.026393,
0.1705,-0.036814,
0.171,-0.048021,
0.1715,-0.057735,
0.172,-0.068831,
0.1725,-0.078984,
0.173,-0.090885,
0.1735,-0.101091,
0.174,-0.110536,
0.1745,-0.121075,
0.175,-0.130998,
0.1755,-0.140496,
0.176,-0.150158,
0.1765,-0.161692,
0.177,-0.172225,
0.1775,-0.181552,
0.178,-0.192052,
0.1785,-0.201701,
0.179,-0.210851,
0.1795,-0.220447,
0.18,-0.230456,
0.1805,-0.239836,
0.181,-0.249484,
0.1815,-0.259198,
0.182,-0.268276,
0.1825,-0.27577,
0.183,-0.285615,
0.1835,-0.29559,
0.184,-0.304276,
0.1845,-0.313335,
0.185,-0.321051,
0.1855,-0.33047,
0.186,-0.337426,
0.1865,-0.344808,
0.187,-0.35314,
0.1875,-0.35933,
0.188,-0.368566,
0.1885,-0.375725,
0.189,-0.383952,
0.1895,-0.392441,
0.19,-0.399207,
0.1905,-0.405521,
0.191,-0.411901,
0.1915,-0.419349,
0.192,-0.42603,
0.1925,-0.432397,
0.193,-0.438148,
0.1935,-0.442969,
0.194,-0.448988,
0.1945,-0.454556,
0.195,-0.459534,
0.1955,-0.464466,
0.196,-0.469831,
0.1965,-0.474802,
0.197,-0.478398,
0.1975,-0.481942,
0.198,-0.486907,
0.1985,-0.491145,
0.199,-0.495121,
0.1995,-0.498638,
0.2,-0.502339,
0.2005,-0.505234,
0.201,-0.5094,
0.2015,-0.511758,
0.202,-0.51464,
0.2025,-0.516651,
0.203,-0.518014,
0.2035,-0.521374,
0.204,-0.523201,
0.2045,-0.522546,
0.205,-0.524963,
0.2055,-0.525533,
0.206,-0.526516,
0.2065,-0.527393,
0.207,-0.526935,
0.2075,-0.527891,
0.208,-0.529136,
0.2085,-0.52907,
0.209,-0.528402,
0.2095,-0.52831,
0.21,-0.527164,
0.2105,-0.524819,
0.211,-0.525016,
0.2115,-0.524216,
0.212,-0.522094,
0.2125,-0.519376,
0.213,-0.518944,
0.2135,-0.516304,
0.214,-0.513913,
0.2145,-0.511948,
0.215,-0.509813,
0.2155,-0.505902,
0.216,-0.502339,
0.2165,-0.499424,
0.217,-0.495442,
0.2175,-0.491905,
0.218,-0.487614,
0.2185,-0.483311,
0.219,-0.47904,
0.2195,-0.474488,
0.22,-0.470106,
0.2205,-0.46406,
0.221,-0.459829,
0.2215,-0.453475,
0.222,-0.447717,
0.2225,-0.442052,
0.223,-0.43668,
0.2235,-0.430098,
0.224,-0.42339,
0.2245,-0.416336,
0.225,-0.412209,
0.2255,-0.404991,
0.226,-0.39791,
0.2265,-0.390692,
0.227,-0.384037,
